iteration_index,requested_seconds,http_code,time_total_sec,curl_exit_code,started_utc,ended_utc,paced_sleep_sec
1,240,500,230.664435,0,2026-07-01T09:54:55Z,2026-07-01T09:58:45Z,19
2,240,500,230.665107,0,2026-07-01T09:59:04Z,2026-07-01T10:02:55Z,19
3,240,500,230.699105,0,2026-07-01T10:03:14Z,2026-07-01T10:07:05Z,19
4,240,500,230.719540,0,2026-07-01T10:07:24Z,2026-07-01T10:11:15Z,19
5,240,500,230.675099,0,2026-07-01T10:11:34Z,2026-07-01T10:15:25Z,19
6,240,500,230.730103,0,2026-07-01T10:15:44Z,2026-07-01T10:19:34Z,19
7,240,500,230.682451,0,2026-07-01T10:19:53Z,2026-07-01T10:23:44Z,19
8,240,500,230.879593,0,2026-07-01T10:24:03Z,2026-07-01T10:27:54Z,19
9,240,500,230.665140,0,2026-07-01T10:28:13Z,2026-07-01T10:32:04Z,19
10,240,500,230.757789,0,2026-07-01T10:32:23Z,2026-07-01T10:36:14Z,19
